0,nospec_no_specifier_test,1594393036,0
1,nospec_empty_string,1594393036,0
2,nospec_some_escaped_chars,1594393036,0
3,nospec_successive_5_5,1594393036,0
4,nospec_successive_2_9,1594393036,0
5,nospec_successive_8_3,1594393036,0
6,pct_basic,1594393036,0
7,pct_5w,1593786183,1594393036
8,pct_5wlj,1593786183,1594393036
9,pct_5wzp,1593786183,1594393036
10,pct_5wljzp,1593786183,1594393036
16,c_allprintable_combined,1594393036,1593856812
17,c_1_31_combined,1594393036,1593856812
18,c_128_255_combined,1594393036,1593856812
19,c_allprintable_width,1594393036,1593856812
20,c_1_31_width,1594393036,1593856812
21,c_128_255_width,1594393036,1593856812
22,c_allprintable_width_lj,1594393036,1593856812
23,c_1_31_width_lj,1594393036,1593856812
24,c_128_255_width_lj,1594393036,1593856812
25,c_nullterm_basic,1594393036,1593858647
26,c_nullterm_5w,1594393036,1593856812
27,c_nullterm_5wlj,1594393036,1593858647
28,s_basic_string_expansion,1594393036,0
29,s_only_string_expansion,1594393036,0
30,s_two_string_expansions,1594393036,0
31,s_two_string_expansions2,1594393036,0
32,s_empty_string_expansion,1594393036,0
33,s_full_then_empty_string,1594393036,0
34,s_empty_then_full_string,1594393036,0
35,s_three_strings,1594393036,0
36,s_space_padded_field_width,1594393036,0
37,s_space_padded_field_width2,1594393036,0
38,s_space_padded_over_field_width,1594393036,0
39,s_space_padded_field_width_lj,1594393036,0
40,s_space_padded_field_width2_lj,1594393036,0
41,s_space_padded_over_field_width_lj,1594393036,0
42,s_string_prec_notrunc,1594393036,0
43,s_string_prec_trunc,1594393036,0
44,s_string_prec_default,1594393036,0
45,s_string_prec_zero,1594393036,0
46,s_two_strings_prec_2trunc,1594393036,0
47,s_two_strings_prec_1trunc_a,1594393036,0
48,s_two_strings_prec_1trunc_b,1594393036,0
49,s_two_strings_prec_0trunc,1594393036,0
50,s_string_prec_width_notrunc,1594393036,0
51,s_string_prec_width_trunc,1594393036,0
52,s_string_prec_width_notrunc_lj,1594393036,0
53,s_string_prec_width_trunc_lj,1594393036,0
54,s_two_s_prec_width_2fit_0trunc,1594393036,0
55,s_two_s_prec_width_1fit_a_0trunc,1594393036,0
56,s_two_s_prec_width_1fit_b_0trunc,1594393036,0
57,s_two_s_prec_width_0fit_0trunc,1594393036,0
58,s_two_s_prec_width_2fit_1trunc_a,1594393036,0
59,s_two_s_prec_width_1fit_a_1trunc_a,1594393036,0
60,s_two_s_prec_width_1fit_b_1trunc_a,1594393036,0
61,s_two_s_prec_width_0fit_1trunc_a,1594393036,0
62,s_two_s_prec_width_2fit_1trunc_b,1594393036,0
63,s_two_s_prec_width_1fit_a_1trunc_b,1594393036,0
64,s_two_s_prec_width_1fit_b_1trunc_b,1594393036,0
65,s_two_s_prec_width_0fit_1trunc_b,1594393036,0
